Datum,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6,Temperatur,Windgeschwindigkeit,Bewoelkung,Wettercode,KielerWoche,Feiertag,DAX,day_length_h,sales_daily,id,Warengruppe
2013-07-01,148.828353112183,535.856284785361,201.198425690037,65.890168799361,317.475874933038,0.0,17.8375,15.0,6.0,20.0,0.0,Kein Feiertag,7983.919921875,17.10147313527778,1269.24910731998,,
2013-07-02,159.79375714468,546.780787392297,265.261253994438,74.5439171827412,383.628681612577,0.0,17.3125,10.0,3.0,20.0,0.0,Kein Feiertag,7910.77001953125,17.080784779444446,1430.0083973267333,,
2013-07-03,111.885593514353,427.343258749983,210.260241465493,69.2627280649987,305.523072325318,0.0,21.075,6.0,7.0,61.0,0.0,Kein Feiertag,7829.31982421875,17.058289513055556,1124.2748941201455,,
2013-07-04,168.864940979931,454.859641347987,190.686641378586,61.490175369225,308.408167942149,0.0,18.85,7.0,7.0,20.0,0.0,Kein Feiertag,7994.31005859375,17.03401560888889,1184.309567017878,,
2013-07-05,171.280754117955,492.818804066088,181.644870215041,86.7598614451924,355.518770367742,0.0,19.975,12.0,5.0,20.0,0.0,Kein Feiertag,7806.0,17.0079930475,1288.0230602120184,,
2013-07-06,174.552359998476,631.906068038484,291.557959835153,80.6465768881107,361.866932797941,0.0,18.9625,8.0,0.0,20.0,0.0,Kein Feiertag,7806.0,16.98025338472222,1540.5298975581647,,
2013-07-07,92.6377553788373,695.25572963054,279.665938833443,94.6039024817053,370.20960108863,0.0,21.375,9.0,0.0,20.0,0.0,Kein Feiertag,7806.0,16.950829617777778,1532.3729274131556,,
2013-07-08,135.500244042392,538.529249911711,195.158794309303,49.5000238633042,285.233382496522,0.0,22.725,10.0,0.0,5.0,0.0,Kein Feiertag,7968.5400390625,16.919756047499998,1203.921694623232,,
2013-07-09,136.048382778344,585.957264698849,245.808338509722,75.2089975834558,342.089345776475,0.0,23.275,8.0,0.0,5.0,0.0,Kein Feiertag,8057.75,16.88706814277778,1385.112329346846,,
2013-07-10,135.132314289581,567.365764527953,265.109142544045,73.8056511129258,343.353066508123,0.0,19.6875,13.0,2.0,5.0,0.0,Kein Feiertag,8066.47998046875,16.852802400555557,1384.765938982628,,
